latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.51382,84.79823,329.93,0.41,0.37,2025-03-01,0735,N,VIIRS,n,2.0NRT,295.52,2.93,D
27.45493,83.862,331.57,0.39,0.36,2025-03-01,0735,N,VIIRS,n,2.0NRT,302.94,1.57,D
26.47541,87.65163,336.53,0.53,0.42,2025-03-01,0735,N,VIIRS,n,2.0NRT,301.39,8.33,D
26.47613,87.65005,341.98,0.53,0.42,2025-03-01,0735,N,VIIRS,n,2.0NRT,300.88,6.73,D
26.45868,87.36797,332.37,0.51,0.41,2025-03-01,0735,N,VIIRS,n,2.0NRT,297.5,3.1,D
26.56306,86.99728,331.49,0.49,0.41,2025-03-01,0735,N,VIIRS,n,2.0NRT,298.06,2.26,D
26.96852,87.17372,334.13,0.51,0.41,2025-03-01,0735,N,VIIRS,n,2.0NRT,298.95,5.09,D
26.96711,87.17202,338.88,0.51,0.41,2025-03-01,0735,N,VIIRS,n,2.0NRT,300.37,6.1,D
27.02432,86.82581,331.26,0.49,0.4,2025-03-01,0735,N,VIIRS,n,2.0NRT,300.09,4.87,D
26.96544,85.98756,336.44,0.45,0.39,2025-03-01,0735,N,VIIRS,n,2.0NRT,299.8,3.46,D
26.99717,85.22377,330.9,0.42,0.38,2025-03-01,0735,N,VIIRS,l,2.0NRT,301.78,1.84,D
27.25517,85.00045,330.11,0.42,0.38,2025-03-01,0735,N,VIIRS,l,2.0NRT,300.23,3.61,D
27.32076,85.33063,337.91,0.43,0.38,2025-03-01,0735,N,VIIRS,n,2.0NRT,300.42,10.48,D
27.31493,84.69961,331.45,0.41,0.37,2025-03-01,0735,N,VIIRS,l,2.0NRT,304.15,4.16,D
27.72709,84.81492,302.08,0.39,0.36,2025-03-01,2001,N,VIIRS,n,2.0NRT,285.72,0.69,N
27.13871,87.27148,298.99,0.41,0.37,2025-03-01,2001,N,VIIRS,n,2.0NRT,285.67,0.75,N
27.1688,87.70604,313.67,0.42,0.38,2025-03-01,2001,N,VIIRS,n,2.0NRT,286.35,1.84,N
27.66777,86.06644,329.72,0.39,0.36,2025-03-02,0718,N,VIIRS,n,2.0NRT,301.67,2.4,D
27.54191,84.50745,352.84,0.43,0.38,2025-03-02,0718,N,VIIRS,n,2.0NRT,309.41,15.63,D
27.54115,84.50309,338.96,0.43,0.38,2025-03-02,0718,N,VIIRS,n,2.0NRT,303.42,3.5,D
27.54464,84.50231,332.53,0.43,0.38,2025-03-02,0718,N,VIIRS,l,2.0NRT,303.72,3.5,D
27.55221,84.44163,344.08,0.44,0.38,2025-03-02,0718,N,VIIRS,n,2.0NRT,303.53,7.97,D
27.56072,84.44887,335.21,0.44,0.38,2025-03-02,0718,N,VIIRS,n,2.0NRT,301.83,2.31,D
