latitude,longitude,acq_date,fire_occurred
27.38069,85.61207,2024-05-01,1
28.9105,83.0694,2014-09-25 00:00:00,0
30.0717,86.084,2019-06-16 00:00:00,0
26.5883,87.3981,2012-05-17 00:00:00,0
29.1596,87.7246,2021-12-01 00:00:00,0
27.50039,85.80809,2021-04-28,1
27.69985,85.69141,2016-05-01,1
27.96136,84.24213,2016-03-19,1
29.8426,80.9172,2019-10-11 00:00:00,0
30.1711,80.3411,2023-11-17 00:00:00,0
28.6979,81.334,2015-11-18 00:00:00,0
29.2239,88.9774,2018-08-29 00:00:00,0
29.953,83.8126,2016-12-06 00:00:00,0
29.5243,81.796,2015-09-13 00:00:00,0
29.29319,81.83097,2024-04-19,1
27.41464,85.21185,2016-04-13,1
28.55126,81.38838,2016-04-14,1
28.99514,80.26247,2016-04-28,1
29.5065,87.1905,2022-01-01 00:00:00,0
27.47781,83.89359,2021-04-10,1
28.9061,83.6782,2021-03-26 00:00:00,0
29.2638,85.0611,2013-05-31 00:00:00,0
27.90415,82.19147,2017-04-12,1
26.3719,82.0088,2017-03-16 00:00:00,0
28.46786,81.64954,2016-04-11,1
28.74903,81.64966,2022-04-23,1
29.2523,84.8,2022-05-08 00:00:00,0
28.11974,82.76977,2024-04-26,1
28.6766,89.0672,2023-07-29 00:00:00,0
30.4104,80.4106,2016-08-01 00:00:00,0
29.31145,80.85806,2018-03-13,1
27.54962,84.42802,2025-03-18,1
28.7076,80.7475,2013-11-29 00:00:00,0
28.4398,85.4562,2020-07-04 00:00:00,0
27.72635,82.84184,2021-04-19,1
28.27697,81.43088,2016-04-25,1
27.10875,87.69146,2023-01-06,1
27.72251,85.72221,2021-04-24,1
27.0131,80.9803,2023-12-18 00:00:00,0
27.24163,87.31782,2024-02-25,1
29.715,82.8362,2020-09-15 00:00:00,0
27.71569,82.42728,2024-04-05,1
28.0539,82.5656,2015-11-19 00:00:00,0
27.2399,84.2075,2018-10-29 00:00:00,0
26.4105,84.4391,2023-07-25 00:00:00,0
27.9657,85.1822,2015-02-19 00:00:00,0
26.7068,88.0718,2022-09-25 00:00:00,0
27.4654,82.0677,2016-03-16 00:00:00,0
28.67094,81.40765,2025-05-09,1
27.7194,88.0129,2023-06-05 00:00:00,0
30.026,81.5434,2019-01-23 00:00:00,0
28.09408,82.04084,2017-04-12,1
27.31229,85.49433,2023-04-13,1
28.80967,81.34414,2014-05-01,1
29.47328,80.96249,2021-02-03,1
27.5949,84.3496,2021-12-26 00:00:00,0
28.69263,80.49976,2017-04-10,1
27.73651,83.36136,2021-04-22,1
28.26554,84.77503,2022-12-21,1
28.9645,83.6699,2014-01-10 00:00:00,0
29.70103,80.99565,2018-01-20,1
28.9934,85.2435,2022-07-11 00:00:00,0
30.1706,87.4711,2012-03-01 00:00:00,0
28.0183,89.181,2024-04-16 00:00:00,0
28.1408,82.6858,2023-01-05 00:00:00,0
27.7328,88.4,2021-09-26 00:00:00,0
27.26634,84.88214,2021-03-16,1
29.364,82.8343,2013-02-28 00:00:00,0
28.10187,83.27643,2024-04-22,1
29.4768,81.1714,2016-06-03 00:00:00,0
28.68032,82.36893,2024-04-09,1
29.0033,84.2791,2015-12-22 00:00:00,0
28.08762,81.46192,2016-04-24,1
27.97079,84.72788,2014-04-20,1
27.6427,87.6913,2020-07-28 00:00:00,0
27.5403,82.7954,2024-03-30 00:00:00,0
27.0096,86.1196,2016-07-23 00:00:00,0
29.9999,87.0183,2023-10-25 00:00:00,0
28.2513,85.5786,2022-05-21 00:00:00,0
30.1147,84.5101,2020-02-16 00:00:00,0
29.4846,84.1323,2014-08-27 00:00:00,0
26.4372,89.4637,2012-09-21 00:00:00,0
28.9696,82.4491,2020-12-11 00:00:00,0
26.613,83.2109,2021-11-23 00:00:00,0
26.44,83.7444,2019-09-06 00:00:00,0
27.48468,84.69089,2023-04-18,1
27.5898,84.7783,2016-09-25 00:00:00,0
27.30202,86.6188,2021-03-26,1
28.5591,88.8897,2012-04-21 00:00:00,0
26.49623,87.97227,2014-03-30,1
28.15401,83.06026,2016-04-11,1
27.96622,82.30956,2022-04-15,1
29.3807,88.0142,2015-02-09 00:00:00,0
28.1494,82.5916,2013-07-09 00:00:00,0
28.0551,81.6439,2012-04-03 00:00:00,0
27.98444,82.26242,2025-03-22,1
28.4595,82.04703,2021-04-04,1
27.8771,85.1675,2020-02-10 00:00:00,0
28.2076,83.11662,2021-04-04,1
26.4565,84.8987,2012-11-14 00:00:00,0
28.4491,87.1347,2013-10-02 00:00:00,0
28.9642,86.6039,2022-02-22 00:00:00,0
30.4938,86.5183,2014-05-28 00:00:00,0
29.0651,85.5957,2021-12-24 00:00:00,0
28.54514,81.39808,2015-05-30,1
28.8085,84.1207,2012-12-08 00:00:00,0
27.0067,87.7178,2023-09-18 00:00:00,0
29.1241,85.3632,2015-05-31 00:00:00,0
28.17711,81.98928,2017-04-11,1
27.91785,81.76336,2016-04-11,1
27.47695,85.77527,2023-01-19,1
29.3756,86.9334,2020-03-26 00:00:00,0
27.35674,85.4378,2025-04-02,1
28.48438,81.369,2021-03-21,1
26.4747,82.623,2021-05-18 00:00:00,0
29.96254,81.96001,2016-01-16,1
29.7628,85.8634,2021-08-30 00:00:00,0
28.53856,81.73283,2021-04-03,1
29.31645,80.83471,2024-04-25,1
27.67876,83.61539,2021-04-06,1
28.9527,87.624,2022-07-08 00:00:00,0
29.21153,80.38586,2025-04-25,1
29.8437,82.6695,2021-05-23 00:00:00,0
28.5177,86.1713,2013-01-16 00:00:00,0
27.03985,86.01723,2017-04-09,1
28.177,84.58981,2024-05-02,1
28.96993,80.53949,2015-06-08,1
26.7212,82.5022,2014-05-30 00:00:00,0
27.1034,88.9932,2022-05-04 00:00:00,0
27.3174,81.0156,2013-10-02 00:00:00,0
28.28925,81.86788,2016-04-08,1
28.00075,85.1657,2024-04-25,1
27.7599,83.9082,2021-12-31 00:00:00,0
29.29637,80.34845,2022-04-27,1
28.064,87.4996,2020-04-25 00:00:00,0
29.6429,83.8483,2023-11-24 00:00:00,0
27.42033,84.66789,2021-03-02,1
28.18532,84.13353,2021-03-17,1
27.7551,83.28568,2016-04-08,1
29.73234,82.02147,2024-06-16,1
