latitude,longitude,acq_date,fire_occurred
27.32924,87.34821,2016-04-25,1
27.82153,82.29179,2021-04-03,1
27.0059,87.1295,2014-10-03 00:00:00,0
27.51031,84.33666,2021-04-02,1
28.03896,84.96243,2021-04-28,1
27.8324,86.0779,2016-02-05 00:00:00,0
28.67065,81.15948,2016-04-13,1
29.64871,81.21502,2016-04-29,1
27.59913,87.56631,2016-12-22,1
28.9042,86.7206,2014-01-14 00:00:00,0
28.50819,82.10897,2023-04-29,1
29.7696,81.9768,2017-11-13 00:00:00,0
28.7852,81.1075,2016-08-21 00:00:00,0
27.5869,83.8109,2021-06-11 00:00:00,0
27.9838,84.3705,2023-09-17 00:00:00,0
29.488,83.3906,2023-09-20 00:00:00,0
28.78945,81.32388,2017-05-05,1
26.5323,88.4339,2022-02-08 00:00:00,0
27.7258,86.7842,2015-08-16 00:00:00,0
27.784,88.55,2015-06-21 00:00:00,0
29.696,88.7396,2015-06-21 00:00:00,0
26.3028,88.6375,2013-05-08 00:00:00,0
28.124,86.8274,2021-01-02 00:00:00,0
28.48783,81.88808,2019-04-30,1
29.0565,81.4938,2019-04-28 00:00:00,0
29.7924,82.8819,2014-10-22 00:00:00,0
27.53628,83.84362,2014-04-09,1
28.93028,81.30318,2021-04-28,1
29.3489,86.0436,2021-04-29 00:00:00,0
28.13087,83.15138,2021-04-15,1
27.09604,85.87223,2021-03-25,1
28.4685,87.1941,2013-11-10 00:00:00,0
27.37132,84.91311,2023-04-17,1
29.27206,80.60093,2024-05-01,1
28.74937,80.74352,2016-04-25,1
27.20518,87.74214,2020-04-12,1
30.1604,84.6246,2014-06-08 00:00:00,0
28.70294,82.27191,2024-04-04,1
29.43048,80.54892,2021-04-08,1
27.5841,82.0241,2017-10-11 00:00:00,0
26.8611,86.0899,2015-03-18 00:00:00,0
27.66011,83.30768,2021-04-17,1
29.01632,81.02512,2024-04-30,1
27.4974,84.27374,2014-11-04,1
27.11674,87.09776,2023-01-11,1
28.68922,82.04192,2024-04-08,1
28.4768,83.1397,2018-02-11 00:00:00,0
28.4217,86.888,2013-08-15 00:00:00,0
29.17021,80.38455,2018-05-10,1
26.5814,83.8384,2018-06-04 00:00:00,0
26.5336,85.8864,2023-11-16 00:00:00,0
29.1334,83.8324,2016-07-29 00:00:00,0
30.3179,82.0957,2015-01-17 00:00:00,0
28.7677,81.26944,2021-03-24,1
26.5454,87.7068,2018-10-12 00:00:00,0
29.4881,88.4842,2018-03-06 00:00:00,0
26.4514,86.0809,2015-10-30 00:00:00,0
28.138,87.5881,2016-09-20 00:00:00,0
29.8124,83.0082,2014-10-28 00:00:00,0
28.23322,82.01638,2016-04-30,1
30.0514,82.8788,2017-05-25 00:00:00,0
26.7474,85.2321,2017-07-09 00:00:00,0
29.6091,88.2616,2024-08-19 00:00:00,0
28.07043,82.02662,2016-04-11,1
29.66175,81.12659,2015-02-23,1
27.37201,84.63767,2017-04-10,1
28.8589,87.1427,2015-03-08 00:00:00,0
28.80306,80.32915,2018-05-09,1
29.22214,80.76377,2024-05-05,1
28.10734,84.65773,2021-03-27,1
27.11423,86.55782,2024-05-03,1
27.11781,84.86534,2019-04-30,1
27.87201,82.73491,2018-04-16,1
27.8552,86.7454,2014-01-04 00:00:00,0
27.02804,87.49554,2024-03-15,1
26.3272,80.567,2012-01-25 00:00:00,0
28.5471,80.1024,2022-03-08 00:00:00,0
27.81537,82.23411,2021-04-20,1
27.26633,84.7936,2018-03-21,1
26.68685,87.81287,2021-04-04,1
28.23601,81.93979,2024-04-10,1
26.50469,87.97337,2021-03-23,1
28.03334,85.16465,2024-05-02,1
26.77843,87.01916,2019-03-24,1
28.9709,87.9863,2018-10-31 00:00:00,0
29.64176,82.22654,2021-11-15,1
27.2359,86.4292,2023-03-14 00:00:00,0
26.86241,86.34857,2024-03-14,1
28.4786,82.0606,2021-01-04 00:00:00,0
29.00516,80.3307,2024-04-14,1
27.18068,85.50078,2022-04-16,1
26.94793,86.77809,2024-04-10,1
28.13033,81.91051,2016-04-09,1
29.18608,80.56587,2014-05-25,1
27.7695,80.7384,2022-11-19 00:00:00,0
27.62213,83.91316,2018-04-13,1
27.79752,82.29802,2022-04-24,1
