latitude,longitude,acq_date,fire_occurred
30.2553,80.0347,3/5/2019 0:00,0
29.16324,80.91329,4/16/2023,1
27.33823,85.29558,4/10/2023,1
27.79183,82.35695,3/21/2019,1
28.6576,81.9085,8/20/2023 0:00,0
28.43225,81.71517,3/28/2021,1
29.29981,82.68456,11/23/2016,1
27.1054,81.8854,4/27/2023 0:00,0
27.9146,87.5293,3/17/2014 0:00,0
27.49468,83.49358,4/26/2022,1
28.16213,81.8935,4/14/2024,1
28.75967,80.47237,4/9/2017,1
28.88083,81.11619,4/23/2018,1
28.58047,81.31853,3/24/2021,1
27.41212,84.66914,4/16/2022,1
27.16836,85.86362,3/23/2016,1
28.48246,81.43635,5/20/2019,1
28.58801,81.30666,6/11/2023,1
26.59851,87.78922,5/23/2021,1
28.5385,81.134,7/13/2017 0:00,0
29.5157,88.3812,10/24/2013 0:00,0
28.6318,81.9281,4/9/2021 0:00,0
27.3986,82.2005,9/7/2021 0:00,0
27.54561,84.37874,4/19/2023,1
29.0937,81.26092,4/11/2016,1
28.09853,82.07074,6/10/2015,1
29.8891,85.8639,7/11/2024 0:00,0
27.6216,84.22614,3/4/2025,1
26.4362,89.3065,1/9/2023 0:00,0
29.4395,88.5197,6/26/2023 0:00,0
29.12692,81.00969,4/28/2021,1
27.16472,84.76898,11/28/2021,1
27.31954,84.92307,4/5/2024,1
27.62289,84.67904,4/30/2024,1
26.6338,85.7509,12/2/2014 0:00,0
27.7706,83.0676,4/12/2020 0:00,0
27.1291,82.4797,10/15/2019 0:00,0
27.8994,83.40219,5/2/2024,1
28.3346,81.4301,6/11/2023 0:00,0
28.5586,86.7184,3/18/2023 0:00,0
28.24061,81.80873,3/24/2021,1
29.00219,81.15911,4/20/2024,1
27.70009,82.48178,4/10/2023,1
30.1135,86.0459,3/7/2015 0:00,0
28.9573,82.4253,2/4/2014 0:00,0
28.6201,87.2047,4/17/2012 0:00,0
28.09183,84.76693,5/16/2014,1
29.35002,82.20631,12/11/2013,1
28.0203,81.242,4/4/2015 0:00,0
27.53674,83.82799,4/11/2017,1
26.9079,83.8996,9/17/2014 0:00,0
29.2294,87.8656,2/22/2016 0:00,0
27.18166,85.84587,3/28/2021,1
27.94648,82.54702,4/10/2017,1
27.15373,84.94292,3/9/2024,1
27.2714,87.8054,7/22/2024 0:00,0
27.70305,84.30323,4/11/2016,1
26.70169,86.63106,3/5/2017,1
28.15974,81.85705,4/28/2019,1
29.01896,80.25246,5/1/2014,1
28.85606,80.97909,5/11/2019,1
26.6487,80.8031,3/5/2023 0:00,0
30.0423,84.9608,5/14/2019 0:00,0
28.32221,84.88583,1/27/2021,1
28.89015,80.95178,4/10/2016,1
30.257,87.2123,11/14/2022 0:00,0
28.63761,80.73978,4/17/2017,1
27.45704,84.5499,4/10/2020,1
30.2865,87.1321,7/4/2014 0:00,0
30.4599,83.4168,7/24/2016 0:00,0
27.84308,82.93835,4/19/2019,1
26.9248,88.5814,7/25/2021 0:00,0
27.80493,86.244,4/30/2024,1
27.50155,84.6472,4/2/2021,1
26.67081,86.59119,3/28/2021,1
27.4732,84.3811,1/18/2022 0:00,0
28.1244,85.4755,10/29/2018 0:00,0
27.35199,84.79738,4/28/2017,1
28.16857,83.61552,5/6/2024,1
27.18007,87.20041,4/22/2014,1
28.7514,81.35231,4/28/2025,1
28.7195,83.7707,8/19/2019 0:00,0
28.19847,83.22101,4/23/2016,1
27.9553,82.3376,12/7/2022 0:00,0
27.33299,84.65098,3/29/2025,1
28.42733,81.36836,3/28/2016,1
28.27032,82.02069,4/3/2021,1
29.76506,80.38875,4/23/2025,1
