latitude,longitude,acq_date,fire_occurred
30.2343,83.3097,2020-05-17 00:00:00,0
28.95107,81.4594,2018-03-28,1
29.75193,81.19936,2021-11-17,1
28.60166,82.18588,2024-04-08,1
30.3999,86.5743,2022-05-12 00:00:00,0
29.03875,81.28794,2021-03-30,1
28.4088,84.4223,2022-06-01 00:00:00,0
27.1231,81.1424,2020-12-22 00:00:00,0
28.5145,87.1512,2021-04-18 00:00:00,0
28.86878,81.37582,2016-04-27,1
27.079,80.6212,2015-11-21 00:00:00,0
29.13098,81.95442,2016-11-16,1
27.14638,87.62788,2024-03-15,1
27.2793,86.0269,2019-04-03 00:00:00,0
29.24011,80.31483,2019-05-05,1
27.4542,83.66512,2024-11-14,1
27.73344,84.16602,2024-04-23,1
28.9112,87.6751,2018-12-06 00:00:00,0
27.9018,82.72764,2021-04-03,1
27.62996,84.7034,2021-03-17,1
30.0368,87.1208,2016-08-18 00:00:00,0
28.96111,82.99466,2013-12-19,1
27.14759,85.74396,2018-03-26,1
26.3916,86.9114,2023-09-14 00:00:00,0
29.4095,86.5163,2013-09-05 00:00:00,0
26.373,88.996,2016-02-14 00:00:00,0
28.71396,82.74161,2025-01-04,1
28.2192,80.7287,2021-02-22 00:00:00,0
28.19464,85.0788,2023-02-23,1
28.7798,86.3685,2014-08-22 00:00:00,0
29.5237,84.207,2016-09-30 00:00:00,0
27.72385,84.1143,2023-04-16,1
27.59683,84.6902,2025-04-01,1
27.37508,84.91144,2021-03-27,1
26.5752,80.0831,2014-03-15 00:00:00,0
29.3347,86.7324,2014-04-01 00:00:00,0
28.88683,81.48678,2016-04-14,1
28.6906,80.72284,2017-04-16,1
30.3762,88.6353,2024-06-21 00:00:00,0
26.4611,88.9049,2017-12-13 00:00:00,0
27.23828,84.86655,2023-04-08,1
29.2519,80.4003,2015-01-17 00:00:00,0
27.75049,82.8271,2018-03-17,1
29.12189,82.67056,2020-11-14,1
26.6986,88.7181,2015-06-26 00:00:00,0
