latitude,longitude,acq_date,fire_occurred
28.9923,84.7979,2020-04-27 00:00:00,0
27.83689,82.82108,2023-04-18,1
28.64017,82.05285,2021-04-02,1
30.0608,81.8065,2023-12-12 00:00:00,0
27.6425,84.123,2022-01-06 00:00:00,0
27.61002,85.69951,2018-03-20,1
29.13011,80.72762,2016-04-27,1
29.34249,80.74111,2022-04-19,1
27.53051,83.98479,2021-04-13,1
28.6579,80.4222,2023-03-11,1
27.4438,86.0623,2020-06-06 00:00:00,0
29.08103,82.23632,2018-01-03,1
28.2798,88.3845,2023-07-19 00:00:00,0
29.18728,80.36342,2014-05-16,1
29.3125,88.8143,2024-06-29 00:00:00,0
26.9159,83.1284,2013-01-15 00:00:00,0
27.3048,84.9167,2015-01-24 00:00:00,0
26.5519,85.3142,2022-04-20 00:00:00,0
28.55,85.1617,2018-04-23 00:00:00,0
28.54342,81.32012,2016-04-22,1
30.0007,81.0194,2017-11-07 00:00:00,0
28.4788,89.0683,2024-07-31 00:00:00,0
29.4114,85.1246,2014-06-10 00:00:00,0
28.50847,81.54708,2019-05-09,1
27.33572,86.32102,2024-04-23,1
28.53381,82.23974,2022-05-17,1
29.8618,86.3594,2017-03-23 00:00:00,0
28.37139,81.45672,2022-04-24,1
28.22512,82.07563,2017-04-11,1
28.8181,82.2116,2012-04-26 00:00:00,0
28.5425,80.1339,2014-09-10 00:00:00,0
28.05643,83.1112,2023-05-10,1
28.7752,82.7686,2012-09-20 00:00:00,0
27.72703,85.58823,2023-04-18,1
29.43506,80.64133,2021-04-26,1
27.37616,85.44835,2021-04-05,1
29.14666,80.54752,2019-05-21,1
28.72546,81.37403,2019-05-06,1
28.1176,82.78468,2019-05-25,1
27.38512,85.83239,2016-04-07,1
27.5907,83.6137,2014-02-19 00:00:00,0
29.07633,80.17298,2024-05-01,1
29.9356,83.7142,2021-05-19 00:00:00,0
29.1524,80.7445,2020-04-02 00:00:00,0
29.12099,81.57507,2023-04-17,1
30.1081,87.1248,2016-04-16 00:00:00,0
27.7223,82.6363,2012-05-09 00:00:00,0
27.46685,84.49751,2016-03-22,1
29.3359,88.2218,2014-01-29 00:00:00,0
26.74486,86.72297,2021-03-21,1
27.324,85.76843,2016-04-09,1
30.4254,87.3549,2018-09-09 00:00:00,0
27.93351,82.72408,2016-04-12,1
28.6492,83.6651,2022-12-25 00:00:00,0
27.85827,82.13474,2024-04-10,1
27.14811,85.87711,2018-03-22,1
29.4468,80.4834,2024-02-26 00:00:00,0
30.3075,81.1895,2021-09-07 00:00:00,0
26.5545,88.029,2016-07-14 00:00:00,0
26.79582,86.73698,2023-04-13,1
27.2657,84.8844,2016-09-28 00:00:00,0
29.8597,84.4453,2024-01-29 00:00:00,0
27.5897,87.5221,2012-08-28 00:00:00,0
28.329,84.1761,2021-03-27 00:00:00,0
27.01779,87.64072,2023-05-13,1
28.38895,81.4241,2016-04-10,1
29.7485,82.5221,2013-01-07 00:00:00,0
28.63418,81.98606,2016-04-12,1
26.3649,89.3193,2020-03-22 00:00:00,0
26.9399,87.5874,2020-11-15 00:00:00,0
29.4088,89.125,2017-02-21 00:00:00,0
27.83424,83.09874,2023-04-12,1
27.4787,85.3712,2014-07-13 00:00:00,0
28.36937,82.26604,2024-05-01,1
30.267,87.9578,2024-12-19 00:00:00,0
27.23711,86.17065,2024-04-25,1
28.3394,87.272,2017-04-09 00:00:00,0
27.68871,83.91315,2023-04-13,1
27.3195,86.9919,2012-07-17 00:00:00,0
29.1329,83.88,2015-07-13 00:00:00,0
26.6892,88.1465,2019-02-23 00:00:00,0
27.0168,81.2173,2017-05-21 00:00:00,0
27.3277,80.9714,2021-05-07 00:00:00,0
29.8676,86.6502,2014-08-11 00:00:00,0
27.62923,85.73822,2021-04-12,1
27.47802,85.20009,2016-04-27,1
28.09811,82.11051,2021-03-20,1
27.52263,83.97123,2021-04-14,1
28.92496,80.15202,2014-05-10,1
29.4605,87.3565,2017-05-25 00:00:00,0
26.6093,88.0881,2016-02-10 00:00:00,0
27.3265,84.5215,2019-08-07 00:00:00,0
28.99731,81.14687,2014-04-25,1
27.16632,86.24992,2023-04-19,1
26.566,81.0368,2018-04-08 00:00:00,0
27.67273,83.88522,2025-03-28,1
27.27273,85.32089,2016-03-18,1
28.1939,82.9823,2019-02-02 00:00:00,0
26.77494,87.26526,2024-05-03,1
26.9726,88.5125,2012-03-03 00:00:00,0
29.1073,86.1847,2013-11-03 00:00:00,0
29.9061,87.1351,2014-02-14 00:00:00,0
28.7784,88.3799,2014-06-18 00:00:00,0
27.80304,82.89162,2014-05-16,1
28.5441,82.1113,2014-10-19 00:00:00,0
29.8668,85.9222,2016-09-11 00:00:00,0
29.8101,88.8412,2019-04-11 00:00:00,0
26.9682,89.092,2017-01-02 00:00:00,0
28.55183,81.25278,2014-05-10,1
28.2852,83.8904,2020-05-07 00:00:00,0
30.3538,89.4538,2021-10-07 00:00:00,0
29.1732,88.4911,2012-08-05 00:00:00,0
29.24263,80.6353,2021-03-01,1
30.0541,82.1674,2021-08-29 00:00:00,0
28.57323,81.91019,2021-03-07,1
28.0972,86.4956,2012-07-04 00:00:00,0
29.30689,80.79016,2024-04-25,1
27.22954,86.14215,2016-04-25,1
26.4751,81.6517,2017-01-17 00:00:00,0
27.36076,84.45693,2019-05-21,1
26.5239,88.8647,2018-05-10 00:00:00,0
26.4627,85.6398,2023-04-08 00:00:00,0
27.1623,83.7517,2015-10-15 00:00:00,0
27.94302,81.77142,2019-10-27,1
28.2833,80.2491,2022-04-16 00:00:00,0
29.41567,81.40659,2016-04-30,1
28.89019,81.10455,2021-04-12,1
27.27883,84.78695,2016-04-07,1
28.7927,81.1,2013-03-19 00:00:00,0
28.52197,82.17912,2024-05-02,1
30.4232,81.169,2018-09-04 00:00:00,0
26.75893,87.45411,2016-03-23,1
28.6196,83.0959,2019-07-16 00:00:00,0
29.0456,83.9914,2019-05-06 00:00:00,0
30.4781,86.2078,2023-01-14 00:00:00,0
27.87897,82.77451,2024-04-09,1
27.4722,80.7264,2016-09-02 00:00:00,0
29.28467,80.73025,2021-04-15,1
28.2273,89.429,2012-11-17 00:00:00,0
30.3173,80.3359,2023-12-13 00:00:00,0
29.0631,80.8518,2024-05-19 00:00:00,0
26.94981,87.41817,2018-02-09,1
27.71892,83.81891,2021-03-27,1
28.05456,82.0866,2016-04-13,1
27.27958,84.74968,2025-04-02,1
28.7039,81.4784,2021-06-27 00:00:00,0
29.021,86.1792,2024-12-20 00:00:00,0
26.64431,87.03893,2023-05-07,1
28.78336,81.47064,2024-04-23,1
28.4433,82.3495,2012-07-29 00:00:00,0
27.76736,82.40468,2014-04-10,1
27.93253,82.68439,2023-04-22,1
26.3894,86.9693,2019-04-05 00:00:00,0
29.76377,81.15274,2016-11-15,1
29.4505,84.8895,2024-12-06 00:00:00,0
27.6816,87.0927,2021-01-06 00:00:00,0
29.6779,89.2252,2014-09-30 00:00:00,0
28.759,84.1219,2016-10-01 00:00:00,0
27.0527,82.5156,2015-03-03 00:00:00,0
26.8085,82.0654,2016-11-30 00:00:00,0
27.527,81.824,2024-11-15 00:00:00,0
27.12094,85.27616,2024-04-20,1
27.3396,84.2288,2013-02-20 00:00:00,0
26.7928,82.89,2020-07-29 00:00:00,0
27.97598,82.58562,2016-04-23,1
29.3602,88.0828,2020-12-05 00:00:00,0
28.1545,80.9632,2023-08-28 00:00:00,0
26.8849,83.8631,2024-11-29 00:00:00,0
28.44849,81.35125,2024-04-10,1
30.3433,83.6932,2023-03-30 00:00:00,0
28.67802,81.32649,2016-04-15,1
27.8154,87.8242,2012-04-16 00:00:00,0
28.0754,84.0134,2018-05-05 00:00:00,0
28.99599,80.77012,2021-04-28,1
28.0592,82.13271,2024-04-07,1
26.5123,82.3348,2019-06-30 00:00:00,0
28.78287,81.30162,2024-04-20,1
28.1206,83.0004,2023-09-05 00:00:00,0
26.8806,83.8801,2021-01-14 00:00:00,0
27.85498,82.28264,2014-05-16,1
30.0755,81.1403,2022-12-11 00:00:00,0
30.3175,86.6491,2018-06-30 00:00:00,0
26.9515,82.4706,2019-02-21 00:00:00,0
28.0303,87.4866,2021-06-04 00:00:00,0
26.66598,87.8326,2019-03-17,1
28.39516,82.00427,2019-03-08,1
29.5187,86.8839,2016-08-20 00:00:00,0
27.77197,84.38539,2016-04-09,1
30.455,80.8324,2016-08-05 00:00:00,0
29.6189,87.9379,2013-05-27 00:00:00,0
28.2169,82.6621,2021-07-13 00:00:00,0
28.76864,81.4704,2024-04-22,1
28.47137,82.23939,2021-03-31,1
26.76241,87.53434,2017-04-11,1
28.65707,81.22427,2022-04-18,1
29.7482,88.0188,2014-10-15 00:00:00,0
29.4089,80.3163,2014-04-02 00:00:00,0
27.82914,85.24039,2021-04-07,1
26.7952,88.8258,2017-10-11 00:00:00,0
28.4231,88.4098,2020-01-12 00:00:00,0
28.8164,80.4175,2014-01-06 00:00:00,0
27.0636,81.7147,2024-02-25 00:00:00,0
27.65048,83.92582,2016-04-24,1
27.85344,82.87069,2016-03-11,1
