latitude,longitude,acq_date,fire_occurred
27.0378,85.6704,2022-05-09 00:00:00,0
27.34631,84.8484,2018-03-24,1
29.07346,81.20338,2022-04-25,1
28.21209,83.19547,2021-04-04,1
28.0593,83.5625,2018-09-20 00:00:00,0
29.5142,82.9157,2012-10-12 00:00:00,0
28.5855,88.8473,2014-04-25 00:00:00,0
27.53556,83.18218,2024-04-27,1
27.4457,84.51488,2016-03-24,1
28.19018,83.79733,2024-05-01,1
27.9223,82.64761,2014-04-30,1
27.12915,85.55829,2014-04-15,1
27.49183,84.79261,2023-03-07,1
28.9065,85.2642,2016-04-18 00:00:00,0
26.3312,85.4096,2017-12-15 00:00:00,0
26.5785,88.6993,2022-12-15 00:00:00,0
26.7373,87.9235,2019-10-07 00:00:00,0
28.8825,80.2221,2022-08-08 00:00:00,0
28.8764,81.4557,2020-07-03 00:00:00,0
27.55897,84.27595,2024-02-23,1
28.6406,86.693,2017-06-27 00:00:00,0
28.98044,80.35172,2025-04-22,1
27.8652,84.13082,2016-04-25,1
26.8782,87.3122,2018-08-06 00:00:00,0
28.1629,88.4999,2023-07-21 00:00:00,0
28.31658,81.6322,2019-04-22,1
28.61479,80.82216,2014-04-25,1
27.7693,80.4605,2023-12-17 00:00:00,0
28.6723,84.2295,2015-10-01 00:00:00,0
26.6847,88.5093,2012-11-14 00:00:00,0
28.07891,83.8275,2024-05-01,1
26.7075,86.9545,2015-07-27 00:00:00,0
27.0493,85.465,2022-04-18 00:00:00,0
27.09865,86.68156,2024-04-29,1
26.83468,86.60137,2019-03-25,1
30.3485,84.5776,2022-04-08 00:00:00,0
27.9791,80.2842,2016-12-17 00:00:00,0
28.2198,85.8048,2021-02-05 00:00:00,0
26.6368,81.9379,2020-07-13 00:00:00,0
27.297,84.0728,2012-09-22 00:00:00,0
27.4994,87.0042,2016-06-01 00:00:00,0
26.884,81.3373,2019-05-23 00:00:00,0
26.9273,80.5243,2015-09-19 00:00:00,0
29.33316,80.96222,2021-04-12,1
29.733,84.1194,2013-10-14 00:00:00,0
27.67643,83.0604,2018-04-23,1
30.2688,86.8744,2012-09-10 00:00:00,0
29.6587,87.2627,2017-01-10 00:00:00,0
28.2451,83.011,2019-06-06 00:00:00,0
27.25055,84.92873,2014-03-31,1
27.35671,85.35686,2025-04-08,1
27.74115,82.42785,2022-04-23,1
27.89567,83.80941,2016-04-28,1
28.74519,80.1973,2017-04-27,1
28.1025,80.5411,2022-06-16 00:00:00,0
28.4429,87.5478,2020-01-20 00:00:00,0
28.531,86.9949,2022-02-26 00:00:00,0
27.69483,82.76665,2016-04-23,1
29.2138,81.65359,2020-12-23,1
27.82321,82.29874,2021-04-02,1
27.23805,84.83512,2022-04-10,1
27.6386,80.2667,2012-08-18 00:00:00,0
26.3243,87.4666,2022-09-29 00:00:00,0
28.4344,86.1885,2012-11-10 00:00:00,0
28.4198,82.7019,2013-09-27 00:00:00,0
26.89785,86.99293,2021-04-13,1
27.7686,87.7951,2017-02-07 00:00:00,0
27.56472,84.3963,2025-04-02,1
29.02934,81.13071,2018-03-29,1
27.8956,83.5811,2013-02-13 00:00:00,0
27.73908,84.78454,2016-04-08,1
26.674,83.3122,2015-11-03 00:00:00,0
27.0878,81.0334,2023-08-02 00:00:00,0
29.3317,89.1192,2015-10-24 00:00:00,0
27.97663,81.9207,2016-04-25,1
26.7388,82.9783,2012-04-12 00:00:00,0
27.12362,85.7868,2018-04-15,1
28.4532,85.3048,2021-01-25 00:00:00,0
27.2454,84.6212,2013-07-12 00:00:00,0
28.45528,82.24862,2021-04-01,1
27.7466,81.9537,2021-10-05 00:00:00,0
28.1015,83.8783,2020-11-06 00:00:00,0
28.8959,81.342,2023-04-04 00:00:00,0
27.51823,85.07291,2021-03-22,1
27.4073,87.0719,2019-05-19 00:00:00,0
27.31981,84.74074,2021-03-27,1
28.85711,81.3349,2018-03-25,1
28.33742,81.65041,2021-04-03,1
29.09035,80.62512,2021-04-03,1
28.99834,80.66051,2016-04-13,1
28.38509,84.48067,2023-01-03,1
28.6024,88.6001,2024-06-06 00:00:00,0
29.9304,81.5622,2021-02-23 00:00:00,0
28.87833,80.98553,2021-04-07,1
28.08041,83.66479,2018-04-23,1
28.45361,81.44872,2016-04-24,1
27.604,80.1337,2015-01-31 00:00:00,0
28.753,86.3398,2017-06-11 00:00:00,0
28.23347,81.8431,2018-04-19,1
28.679,89.3054,2012-05-21 00:00:00,0
27.71935,84.61514,2016-04-14,1
27.64223,84.73299,2024-04-25,1
28.34577,81.55339,2017-04-17,1
28.5722,83.7307,2012-11-24 00:00:00,0
29.05543,80.32989,2016-04-26,1
27.49008,87.35822,2014-02-18,1
29.8474,84.7903,2012-06-04 00:00:00,0
30.426,81.3913,2020-12-13 00:00:00,0
28.67168,80.72821,2016-04-12,1
27.6315,80.5812,2016-03-12 00:00:00,0
27.7943,82.29381,2022-04-25,1
29.4879,86.8712,2017-04-02 00:00:00,0
27.13592,85.89256,2016-03-21,1
29.80193,82.17246,2018-11-24,1
27.3696,81.0283,2012-11-02 00:00:00,0
27.5034,81.589,2018-02-21 00:00:00,0
28.7874,85.1835,2024-05-03 00:00:00,0
27.51354,84.96655,2016-04-09,1
30.4377,88.7587,2015-06-29 00:00:00,0
28.26476,82.13906,2016-04-15,1
27.89992,82.20364,2017-04-13,1
28.1616,87.0841,2015-07-29 00:00:00,0
27.8565,88.0391,2024-12-15 00:00:00,0
28.69656,81.43356,2024-04-23,1
27.4646,80.2551,2020-09-19 00:00:00,0
27.5408,81.764,2019-03-22 00:00:00,0
27.5053,83.2874,2023-03-21 00:00:00,0
27.9796,85.101,2016-06-20 00:00:00,0
27.5865,81.7106,2024-04-29 00:00:00,0
30.2546,85.3165,2018-11-01 00:00:00,0
28.54404,81.56548,2022-04-24,1
28.3117,83.9197,2012-10-02 00:00:00,0
26.3326,84.2949,2013-08-19 00:00:00,0
28.63632,80.83254,2021-04-09,1
28.91591,82.54014,2025-01-11,1
29.4764,89.1932,2017-05-30 00:00:00,0
27.29568,85.36592,2024-04-09,1
26.3033,82.1555,2023-02-20 00:00:00,0
27.8345,82.3138,2013-11-17 00:00:00,0
27.95316,82.11339,2014-04-22,1
29.3355,84.3752,2013-01-25 00:00:00,0
30.1615,85.6259,2024-05-27 00:00:00,0
29.5337,84.5468,2015-04-16 00:00:00,0
27.1148,85.8784,2018-05-29 00:00:00,0
27.4536,87.627,2018-07-12 00:00:00,0
28.46059,81.67704,2014-04-24,1
29.48521,81.10611,2024-05-01,1
28.9152,84.7324,2020-01-30 00:00:00,0
28.25723,81.92193,2024-04-15,1
29.06322,80.58258,2019-05-16,1
27.41261,84.49253,2016-03-24,1
27.76121,84.47924,2023-04-16,1
27.55955,84.69205,2024-03-09,1
27.9306,84.0647,2024-03-23 00:00:00,0
27.30248,84.82165,2017-04-28,1
28.70842,81.99973,2024-04-08,1
27.0658,81.0466,2022-03-17 00:00:00,0
28.61079,81.85634,2021-04-07,1
29.2783,84.0562,2022-11-10 00:00:00,0
29.4699,87.0233,2017-12-10 00:00:00,0
29.6127,88.4044,2022-04-16 00:00:00,0
29.4607,88.3634,2014-02-20 00:00:00,0
28.18856,81.99209,2014-04-28,1
29.68343,80.4259,2022-04-09,1
27.45352,86.72093,2016-04-10,1
29.8959,89.0534,2023-03-31 00:00:00,0
27.2826,88.9584,2023-07-22 00:00:00,0
26.80481,86.48136,2025-04-04,1
28.00212,82.3268,2023-04-17,1
28.69694,81.74478,2021-04-01,1
29.05092,80.67675,2024-04-27,1
30.4991,83.5071,2012-07-07 00:00:00,0
27.63439,85.69942,2016-04-11,1
28.6451,82.9785,2016-10-26 00:00:00,0
28.6819,89.2012,2017-09-21 00:00:00,0
27.10462,87.05788,2021-04-13,1
28.017,86.9546,2016-01-17 00:00:00,0
29.0746,82.7386,2023-03-29 00:00:00,0
27.4801,84.38769,2023-04-18,1
26.9927,89.0678,2018-12-04 00:00:00,0
28.11527,84.47919,2021-03-17,1
29.15114,81.02499,2024-04-19,1
28.79345,82.15329,2015-06-07,1
28.31252,83.15889,2022-04-16,1
26.9701,89.102,2020-10-03 00:00:00,0
29.0478,82.7132,2019-04-09 00:00:00,0
29.7166,88.8706,2019-01-05 00:00:00,0
27.6391,82.9433,2017-07-16 00:00:00,0
28.72458,81.31404,2017-04-26,1
27.37918,84.60889,2023-04-08,1
30.0529,84.4796,2024-07-18 00:00:00,0
27.80261,82.3071,2021-04-12,1
28.87374,80.81294,2016-04-29,1
27.10335,84.81122,2019-04-25,1
28.95288,80.66187,2018-05-11,1
28.29508,81.50517,2019-05-07,1
26.7673,89.2733,2017-10-09 00:00:00,0
29.0554,81.60767,2016-04-27,1
28.59237,81.9724,2021-03-25,1
28.90143,81.57968,2016-04-24,1
29.3426,81.7489,2015-04-07 00:00:00,0
27.13337,84.81477,2023-04-20,1
27.50505,84.80494,2016-03-23,1
27.8415,88.3755,2023-03-24 00:00:00,0
26.7609,88.4426,2017-12-25 00:00:00,0
27.73514,84.49281,2021-03-17,1
29.738,82.0099,2021-03-13 00:00:00,0
29.01947,80.72816,2016-04-29,1
28.2681,82.8573,2017-05-10 00:00:00,0
27.93914,82.66834,2019-05-08,1
28.5807,84.4879,2019-07-17 00:00:00,0
28.81081,82.3191,2015-05-28,1
27.5018,83.29494,2019-04-22,1
28.5696,89.3581,2022-04-30 00:00:00,0
29.77872,81.39706,2020-12-29,1
27.63206,84.87812,2024-04-21,1
28.19274,81.85778,2016-04-09,1
28.9805,85.6297,2022-05-28 00:00:00,0
27.52132,84.71442,2019-04-24,1
28.1025,83.9649,2022-06-03 00:00:00,0
27.53582,84.72991,2020-04-10,1
29.2588,88.646,2014-12-04 00:00:00,0
28.67114,81.18974,2019-04-29,1
26.9455,84.0108,2014-05-16 00:00:00,0
26.8707,82.6457,2018-03-18 00:00:00,0
27.84451,84.73527,2016-04-10,1
26.471,85.3242,2015-07-08 00:00:00,0
26.4235,87.2864,2014-05-11 00:00:00,0
27.2745,82.5106,2023-06-20 00:00:00,0
27.8141,84.8914,2023-07-08 00:00:00,0
27.49989,85.00804,2025-04-03,1
29.30222,81.51164,2016-11-25,1
28.32675,84.45346,2017-04-10,1
28.1083,81.6529,2020-06-18 00:00:00,0
27.23907,86.57516,2025-04-03,1
28.3252,84.33321,2021-01-28,1
28.4974,81.0014,2021-03-07 00:00:00,0
28.02082,84.33215,2020-04-07,1
30.1563,85.253,2023-12-19 00:00:00,0
27.0308,82.3645,2014-12-15 00:00:00,0
28.8645,87.0211,2018-07-20 00:00:00,0
28.1678,84.3964,2017-12-23 00:00:00,0
29.5315,86.2041,2023-07-20 00:00:00,0
26.6944,88.0193,2024-05-18 00:00:00,0
26.87848,86.06623,2023-04-10,1
27.85793,82.93976,2019-05-07,1
28.297,80.6654,2016-01-17 00:00:00,0
28.7251,82.8531,2022-09-26 00:00:00,0
26.5076,86.7302,2013-02-08 00:00:00,0
27.72761,82.54381,2021-03-26,1
28.23627,84.68583,2015-12-29,1
26.66827,86.88132,2024-03-15,1
28.06052,82.03941,2022-04-25,1
27.89562,83.49464,2016-04-13,1
26.91307,86.27772,2014-04-12,1
28.151,88.5016,2012-02-12 00:00:00,0
29.6766,87.616,2016-04-30 00:00:00,0
28.01396,81.99921,2017-04-12,1
29.04946,80.76888,2016-04-24,1
27.7671,86.0388,2020-04-23 00:00:00,0
29.7459,83.3089,2015-09-18 00:00:00,0
28.03756,82.68321,2021-04-12,1
28.1252,87.5381,2015-03-30 00:00:00,0
28.9815,81.4706,2024-02-28 00:00:00,0
26.3823,82.6881,2021-10-17 00:00:00,0
28.24008,84.34584,2023-01-08,1
28.9736,85.8671,2022-02-24 00:00:00,0
28.5428,86.6583,2019-07-16 00:00:00,0
27.83447,83.0013,2016-04-30,1
28.85731,81.15238,2021-04-14,1
