latitude,longitude,acq_date,fire_occurred
28.6394,80.6691,2022-11-08 00:00:00,0
26.3939,86.8561,2012-05-04 00:00:00,0
28.2505,88.7642,2013-10-13 00:00:00,0
27.94648,82.02114,2016-04-14,1
28.20171,81.93961,2021-03-25,1
29.031,89.4793,2018-08-22 00:00:00,0
27.7929,83.1058,2022-02-02 00:00:00,0
28.6342,88.0422,2021-12-19 00:00:00,0
29.14995,81.44854,2021-04-03,1
26.44299,87.54847,2020-12-02,1
26.341,87.477,2014-12-05 00:00:00,0
27.9852,83.50934,2023-04-22,1
27.31266,87.0436,2025-04-03,1
27.47107,84.95428,2025-04-01,1
27.84038,82.32278,2021-04-05,1
30.4572,83.1892,2020-11-01 00:00:00,0
28.1911,82.7939,2014-01-05 00:00:00,0
27.9733,88.633,2016-06-12 00:00:00,0
27.7812,82.6945,2015-03-01 00:00:00,0
27.1396,85.54214,2023-03-10,1
27.1996,81.5579,2018-05-15 00:00:00,0
28.20001,85.06676,2014-05-14,1
26.725,84.9431,2016-03-21 00:00:00,0
29.6688,87.3172,2016-07-27 00:00:00,0
28.3075,82.97916,2024-04-20,1
28.08812,83.25976,2022-04-17,1
27.47488,84.95451,2025-04-01,1
28.3911,88.6505,2013-10-17 00:00:00,0
28.01975,83.36771,2024-04-15,1
29.2602,84.933,2015-07-21 00:00:00,0
27.54507,83.86604,2025-04-04,1
27.6478,82.5762,2015-01-18 00:00:00,0
28.73896,82.69016,2025-04-25,1
27.3156,85.58171,2021-04-02,1
27.46198,84.40465,2018-03-25,1
28.245,81.56248,2016-04-27,1
29.1096,89.3407,2022-11-29 00:00:00,0
28.21318,83.36497,2024-04-08,1
30.3483,88.6071,2024-04-03 00:00:00,0
29.2311,84.1249,2012-01-30 00:00:00,0
26.95789,87.11194,2023-03-30,1
27.1279,81.3728,2022-05-31 00:00:00,0
28.92468,82.78073,2024-05-02,1
29.46211,80.52534,2021-04-10,1
28.635,88.7382,2024-01-30 00:00:00,0
27.52277,83.92719,2016-03-29,1
28.45592,81.53381,2024-04-19,1
29.66048,82.57856,2022-12-29,1
28.66408,81.71364,2016-04-29,1
27.42015,85.29354,2018-03-26,1
29.06295,81.2224,2018-03-29,1
29.34035,80.35725,2022-04-26,1
28.8577,84.2009,2022-05-03 00:00:00,0
27.68154,82.53645,2025-04-02,1
27.1163,88.8563,2020-09-04 00:00:00,0
27.8986,82.28093,2016-04-09,1
26.4101,85.3558,2021-08-10 00:00:00,0
26.94977,86.02206,2024-03-09,1
28.8268,80.72385,2021-04-13,1
30.4527,81.7552,2016-12-20 00:00:00,0
29.2976,80.1305,2024-03-27 00:00:00,0
27.37169,84.61754,2023-04-03,1
26.4555,85.4329,2021-09-04 00:00:00,0
27.299,87.4039,2019-08-25 00:00:00,0
27.55019,87.76775,2020-03-28,1
29.1804,81.4961,2023-04-20 00:00:00,0
27.78587,83.08367,2024-04-08,1
28.5805,83.43494,2013-12-27,1
29.08105,82.73721,2015-12-26,1
28.31215,81.62785,2021-04-02,1
27.2854,86.6261,2019-12-05 00:00:00,0
26.404,82.7386,2018-01-04 00:00:00,0
28.55042,81.4107,2019-05-16,1
26.3464,86.585,2022-08-28 00:00:00,0
29.6816,82.9355,2024-09-01 00:00:00,0
27.56066,83.02556,2021-04-24,1
30.0972,81.2962,2022-04-13 00:00:00,0
30.402,82.7432,2013-09-19 00:00:00,0
29.29556,80.35188,2024-04-27,1
28.86215,81.33835,2018-04-23,1
27.0592,87.2164,2021-03-15 00:00:00,0
28.68357,82.56332,2024-04-19,1
27.7974,86.3231,2021-04-14 00:00:00,0
27.92244,81.92248,2021-03-22,1
28.82557,80.80344,2022-05-01,1
27.90713,82.66701,2016-04-29,1
26.84,86.2692,2017-07-20 00:00:00,0
27.41266,84.66695,2018-03-19,1
29.4208,82.7623,2021-04-08 00:00:00,0
28.55095,81.89363,2014-04-25,1
27.68751,84.82665,2016-04-08,1
28.36077,81.86079,2018-04-25,1
27.50177,84.94289,2014-04-11,1
28.77224,82.07327,2020-04-19,1
27.67,80.1215,2017-07-27 00:00:00,0
30.4701,83.4901,2015-05-12 00:00:00,0
30.2259,89.4334,2013-02-09 00:00:00,0
30.4285,88.9912,2014-03-03 00:00:00,0
28.9914,88.0111,2014-05-13 00:00:00,0
28.95757,81.13757,2024-05-04,1
27.57034,84.01588,2025-03-20,1
30.4852,84.8642,2024-07-10 00:00:00,0
29.78,82.0568,2024-11-03 00:00:00,0
29.7333,80.8537,2015-03-12 00:00:00,0
30.2184,87.3443,2017-09-19 00:00:00,0
29.14685,82.64098,2018-01-17,1
28.2783,86.5952,2023-11-23 00:00:00,0
28.4527,89.1715,2014-05-11 00:00:00,0
26.86327,86.95155,2014-03-31,1
30.4966,80.4144,2014-12-02 00:00:00,0
29.2936,84.0471,2013-01-14 00:00:00,0
28.13148,82.06856,2023-04-28,1
27.43975,86.17129,2024-04-25,1
30.0987,86.2683,2012-03-14 00:00:00,0
30.095,87.6147,2014-09-29 00:00:00,0
27.4527,88.0515,2022-12-30 00:00:00,0
27.94427,82.52433,2016-03-23,1
27.83114,82.32224,2022-04-25,1
29.1798,81.8274,2015-10-16 00:00:00,0
26.6151,81.3738,2017-03-26 00:00:00,0
27.0605,81.4627,2020-03-19 00:00:00,0
29.6974,86.7401,2023-11-22 00:00:00,0
29.3734,83.6417,2021-02-25 00:00:00,0
26.9816,85.0987,2014-07-30 00:00:00,0
27.74484,84.58799,2021-03-26,1
28.0392,86.6829,2024-10-12 00:00:00,0
29.616,87.8879,2016-12-25 00:00:00,0
27.47228,83.95798,2025-04-06,1
28.88244,80.76199,2019-05-09,1
27.2414,80.6215,2024-08-01 00:00:00,0
27.30968,86.68912,2024-04-20,1
26.6299,84.4926,2023-09-01 00:00:00,0
26.7113,85.0673,2024-11-24 00:00:00,0
29.42803,80.61396,2016-04-28,1
29.581,80.3011,2023-12-03 00:00:00,0
27.4698,88.34,2024-05-12 00:00:00,0
27.22485,85.94038,2016-04-09,1
26.4216,86.5092,2021-01-25 00:00:00,0
28.8479,87.3005,2024-12-23 00:00:00,0
28.0395,81.5905,2016-03-12 00:00:00,0
28.34273,84.84607,2017-12-24,1
27.54425,84.51161,2021-02-11,1
30.4203,89.2227,2013-12-15 00:00:00,0
28.55202,84.30602,2021-01-09,1
27.38766,84.30018,2025-03-28,1
28.57922,82.03354,2019-06-13,1
27.21738,84.96564,2021-03-24,1
27.97109,82.02216,2021-04-14,1
28.58403,82.04505,2021-03-31,1
29.6409,84.7934,2023-09-29 00:00:00,0
27.95456,82.38557,2023-05-15,1
27.3136,83.0982,2022-11-27 00:00:00,0
28.73083,82.2673,2021-04-04,1
27.79534,82.51082,2019-05-30,1
27.35844,86.84991,2016-04-10,1
30.381,81.5165,2018-08-24 00:00:00,0
28.1283,80.5237,2020-07-15 00:00:00,0
29.0638,81.43256,2024-05-16,1
29.01326,81.16498,2024-04-20,1
29.01632,81.28667,2014-05-10,1
28.41693,81.72884,2019-04-29,1
27.88048,85.23447,2018-04-02,1
28.27572,81.55724,2024-04-20,1
28.10094,84.3279,2016-04-14,1
27.2371,80.2877,2014-07-15 00:00:00,0
26.6114,81.8587,2012-06-07 00:00:00,0
27.64058,85.74246,2021-04-05,1
29.03145,80.6955,2016-03-29,1
27.1016,86.7108,2024-02-08 00:00:00,0
28.9544,81.35451,2016-04-29,1
27.9002,82.8399,2021-01-08 00:00:00,0
26.85313,86.97012,2024-05-01,1
28.69723,81.11338,2019-04-28,1
27.143,87.5593,2019-06-26 00:00:00,0
28.8548,84.7743,2020-08-14 00:00:00,0
28.47728,81.99963,2014-05-16,1
27.82101,85.45862,2016-02-16,1
28.9759,85.0078,2020-03-15 00:00:00,0
28.17875,82.07286,2024-04-19,1
28.8722,88.6626,2021-05-13 00:00:00,0
29.00846,82.49851,2018-01-29,1
30.1874,83.7817,2017-05-05 00:00:00,0
29.4958,83.5597,2014-06-15 00:00:00,0
28.7902,86.2554,2012-04-03 00:00:00,0
28.34372,81.37746,2025-03-22,1
26.6234,80.9338,2019-04-24 00:00:00,0
28.91893,80.30756,2023-04-25,1
27.40675,85.33112,2024-04-25,1
28.0399,80.4399,2012-09-10 00:00:00,0
27.05969,85.50194,2019-03-23,1
27.99166,82.09823,2016-04-24,1
27.2155,86.2739,2023-04-28,1
27.82631,82.28553,2023-04-12,1
29.18214,81.14676,2014-05-17,1
27.4619,84.56008,2023-04-13,1
28.3644,86.6214,2020-10-23 00:00:00,0
27.9196,89.059,2018-08-07 00:00:00,0
27.7699,84.32764,2014-04-23,1
27.2583,87.0514,2021-09-23 00:00:00,0
30.2003,80.0539,2013-06-26 00:00:00,0
27.2397,87.6381,2017-12-28 00:00:00,0
29.989,82.0489,2013-04-10 00:00:00,0
27.36087,85.08281,2025-04-01,1
26.3237,84.1659,2021-03-28 00:00:00,0
30.4559,83.0862,2016-03-14 00:00:00,0
26.6286,87.1342,2015-08-14 00:00:00,0
28.35913,81.7535,2019-05-09,1
28.8014,83.2327,2017-02-09 00:00:00,0
27.79405,83.7732,2018-03-25,1
28.5497,81.99846,2021-04-14,1
27.5174,86.7449,2022-03-11 00:00:00,0
27.81226,85.24254,2016-04-30,1
27.2812,88.6198,2023-01-08 00:00:00,0
27.34027,86.07886,2014-04-27,1
28.1659,81.7032,2015-10-30 00:00:00,0
29.0611,81.1845,2022-12-09 00:00:00,0
26.5003,85.6022,2019-09-24 00:00:00,0
30.2723,83.4597,2013-03-08 00:00:00,0
27.62806,84.7417,2016-04-14,1
29.49083,80.92384,2024-05-03,1
28.6952,89.3117,2017-07-18 00:00:00,0
27.6206,81.1198,2015-01-05 00:00:00,0
28.5179,87.0615,2019-04-28 00:00:00,0
28.84957,80.77457,2016-04-24,1
29.6591,83.7113,2018-05-04 00:00:00,0
28.98656,80.51488,2016-04-28,1
29.2293,80.56607,2016-04-02,1
27.91883,85.09579,2023-05-10,1
27.6066,89.2124,2014-06-12 00:00:00,0
27.2005,86.2423,2018-05-14 00:00:00,0
30.1155,85.5391,2021-08-12 00:00:00,0
29.72297,81.42198,2025-01-28,1
29.14864,81.51775,2024-04-20,1
30.4965,89.0911,2018-07-11 00:00:00,0
26.7359,87.786,2020-09-30 00:00:00,0
28.1728,85.07793,2021-04-05,1
28.62044,81.99229,2014-04-26,1
29.1704,89.3353,2018-12-28 00:00:00,0
27.85702,85.41515,2016-05-11,1
27.87323,84.90202,2014-04-23,1
26.85591,86.85429,2017-04-27,1
27.6029,84.2997,2017-07-13 00:00:00,0
27.04924,87.55408,2016-04-09,1
28.98055,80.70786,2021-04-09,1
29.6976,86.7378,2015-10-27 00:00:00,0
29.16238,80.58625,2024-05-05,1
28.58239,81.27305,2021-04-14,1
28.8509,84.1168,2015-05-22 00:00:00,0
27.37022,86.21949,2021-04-11,1
27.92773,82.41002,2021-04-03,1
28.9906,84.4096,2024-03-28 00:00:00,0
26.3398,82.7572,2022-06-06 00:00:00,0
30.0535,84.3562,2012-09-25 00:00:00,0
28.68877,81.80568,2021-01-28,1
28.86792,81.48975,2018-04-22,1
28.4017,84.3615,2013-03-14 00:00:00,0
29.04338,80.68404,2023-04-17,1
29.34491,80.31976,2021-04-04,1
29.5719,83.6136,2019-04-15 00:00:00,0
27.75794,83.09637,2024-04-20,1
27.35656,84.8438,2014-04-10,1
28.7936,81.53455,2021-03-08,1
27.4765,86.7381,2024-12-01 00:00:00,0
28.07119,82.04813,2016-04-11,1
27.8826,83.00719,2023-04-12,1
27.14422,84.8172,2024-12-10,1
27.92995,84.28984,2016-02-27,1
26.5664,84.1358,2021-11-25 00:00:00,0
27.6013,88.4431,2017-09-24 00:00:00,0
29.43704,80.72729,2014-04-28,1
27.71408,84.34297,2024-04-16,1
29.1301,82.4771,2017-01-22 00:00:00,0
27.03958,87.62904,2021-03-22,1
27.2445,80.1126,2012-02-17 00:00:00,0
29.7705,81.8708,2016-10-07 00:00:00,0
27.8914,88.9819,2016-05-21 00:00:00,0
27.88951,85.17709,2016-03-25,1
29.33842,80.7846,2022-04-17,1
27.5892,87.7774,2021-05-16 00:00:00,0
27.61145,84.93827,2025-04-07,1
28.36576,82.13472,2022-05-22,1
30.2733,87.9989,2023-04-08 00:00:00,0
27.4136,85.27,2021-10-20 00:00:00,0
27.19345,85.39032,2021-04-08,1
27.28694,84.74326,2016-03-24,1
28.47599,81.49435,2019-05-05,1
26.6089,89.2345,2023-07-12 00:00:00,0
27.73733,83.46825,2021-04-19,1
29.08804,80.69168,2018-05-10,1
29.8962,80.1152,2020-11-30 00:00:00,0
26.9517,82.144,2018-06-05 00:00:00,0
27.0512,80.7785,2012-01-26 00:00:00,0
28.29853,81.43435,2021-04-10,1
27.86998,85.50894,2024-04-09,1
28.17718,81.97668,2022-04-14,1
28.5251,85.6274,2024-12-12 00:00:00,0
27.30323,85.50775,2016-03-29,1
28.50239,81.49055,2024-04-24,1
27.67447,82.47845,2021-04-06,1
27.3222,87.8818,2016-02-24 00:00:00,0
26.4269,84.1933,2015-05-12 00:00:00,0
29.26355,80.297,2014-04-30,1
29.9274,83.5126,2023-08-13 00:00:00,0
28.1083,82.6434,2019-01-19 00:00:00,0
30.4911,88.2177,2018-04-25 00:00:00,0
29.0195,80.28976,2022-04-20,1
27.14574,85.74563,2018-03-26,1
27.25408,85.36873,2016-03-14,1
28.1045,83.3107,2023-08-21 00:00:00,0
30.4501,81.1341,2019-09-11 00:00:00,0
29.23241,81.81226,2016-01-04,1
27.4381,83.68168,2022-11-20,1
28.4079,81.919,2022-12-29 00:00:00,0
29.0691,89.3298,2016-10-02 00:00:00,0
28.17431,85.05599,2022-03-11,1
29.30336,80.85468,2024-04-05,1
28.3336,85.9991,2021-09-20 00:00:00,0
28.73079,81.104,2019-04-28,1
27.2421,88.7776,2020-11-18 00:00:00,0
26.9507,84.5935,2017-09-24 00:00:00,0
27.9202,88.3561,2024-10-06 00:00:00,0
29.6156,83.0512,2018-08-06 00:00:00,0
27.6985,83.59677,2019-03-21,1
28.7025,81.6933,2019-06-17 00:00:00,0
28.44455,84.39931,2018-01-17,1
29.3045,80.39796,2023-04-18,1
28.90915,80.15754,2017-04-01,1
27.95484,84.69463,2023-03-28,1
